filename,cluster
70.0_50.0_0.0.csv,3
60.0_10.0_60.0.csv,0
50.0_50.0_60.0.csv,3
60.0_30.0_50.0.csv,0
60.0_80.0_50.0.csv,1
10.0_50.0_0.0.csv,1
30.0_60.0_100.0.csv,3
40.0_20.0_0.0.csv,3
0.0_70.0_90.0.csv,1
90.0_30.0_10.0.csv,0
0.0_80.0_90.0.csv,1
20.0_100.0_10.0.csv,1
60.0_30.0_90.0.csv,2
90.0_50.0_30.0.csv,3
30.0_20.0_80.0.csv,2
80.0_70.0_80.0.csv,3
10.0_80.0_80.0.csv,1
80.0_0.0_30.0.csv,0
80.0_10.0_70.0.csv,2
50.0_90.0_70.0.csv,1
30.0_90.0_50.0.csv,1
90.0_0.0_20.0.csv,0
100.0_30.0_70.0.csv,0
20.0_0.0_10.0.csv,0
30.0_50.0_80.0.csv,3
80.0_40.0_80.0.csv,0
50.0_30.0_50.0.csv,0
40.0_100.0_0.0.csv,1
0.0_10.0_0.0.csv,1
60.0_40.0_70.0.csv,2
20.0_100.0_40.0.csv,1
80.0_80.0_60.0.csv,3
60.0_0.0_20.0.csv,2
50.0_30.0_40.0.csv,2
70.0_10.0_0.0.csv,0
0.0_50.0_80.0.csv,3
0.0_90.0_10.0.csv,1
50.0_90.0_30.0.csv,1
10.0_40.0_30.0.csv,1
10.0_20.0_10.0.csv,1
60.0_10.0_80.0.csv,2
10.0_100.0_60.0.csv,1
50.0_90.0_10.0.csv,1
0.0_30.0_50.0.csv,1
70.0_80.0_60.0.csv,1
10.0_0.0_40.0.csv,2
10.0_70.0_0.0.csv,1
40.0_10.0_60.0.csv,0
60.0_20.0_80.0.csv,0
10.0_80.0_60.0.csv,1
70.0_50.0_10.0.csv,3
0.0_20.0_100.0.csv,0
70.0_70.0_50.0.csv,3
50.0_90.0_20.0.csv,1
100.0_50.0_80.0.csv,2
50.0_40.0_10.0.csv,3
100.0_80.0_60.0.csv,3
20.0_50.0_0.0.csv,1
60.0_0.0_40.0.csv,0
20.0_50.0_40.0.csv,1
100.0_20.0_10.0.csv,0
20.0_90.0_100.0.csv,1
80.0_0.0_40.0.csv,2
30.0_30.0_60.0.csv,2
20.0_0.0_80.0.csv,0
70.0_70.0_80.0.csv,3
50.0_0.0_60.0.csv,2
80.0_100.0_80.0.csv,3
20.0_10.0_0.0.csv,3
100.0_60.0_90.0.csv,2
70.0_70.0_90.0.csv,3
100.0_20.0_80.0.csv,0
60.0_0.0_30.0.csv,0
100.0_30.0_60.0.csv,2
0.0_80.0_70.0.csv,1
30.0_10.0_100.0.csv,2
60.0_10.0_0.0.csv,2
60.0_80.0_100.0.csv,1
10.0_0.0_60.0.csv,2
50.0_0.0_10.0.csv,2
40.0_80.0_30.0.csv,1
80.0_0.0_80.0.csv,2
40.0_20.0_20.0.csv,2
20.0_30.0_80.0.csv,2
30.0_0.0_10.0.csv,0
50.0_20.0_20.0.csv,0
100.0_60.0_40.0.csv,3
20.0_80.0_20.0.csv,1
100.0_80.0_80.0.csv,3
100.0_20.0_60.0.csv,2
70.0_100.0_50.0.csv,1
100.0_40.0_0.0.csv,2
60.0_70.0_70.0.csv,1
20.0_20.0_30.0.csv,2
10.0_70.0_50.0.csv,1
90.0_100.0_30.0.csv,1
10.0_10.0_40.0.csv,0
10.0_20.0_20.0.csv,1
80.0_10.0_90.0.csv,2
0.0_40.0_70.0.csv,1
100.0_100.0_10.0.csv,1
10.0_40.0_60.0.csv,1
0.0_40.0_20.0.csv,1
80.0_70.0_40.0.csv,3
0.0_30.0_0.0.csv,1
60.0_20.0_100.0.csv,2
90.0_60.0_30.0.csv,3
50.0_40.0_30.0.csv,3
100.0_70.0_80.0.csv,3
0.0_60.0_10.0.csv,1
30.0_100.0_30.0.csv,1
80.0_0.0_50.0.csv,2
30.0_70.0_20.0.csv,1
0.0_40.0_80.0.csv,3
90.0_60.0_50.0.csv,3
90.0_60.0_70.0.csv,2
20.0_70.0_70.0.csv,1
10.0_70.0_40.0.csv,1
80.0_70.0_60.0.csv,3
70.0_60.0_60.0.csv,3
30.0_60.0_30.0.csv,1
50.0_100.0_80.0.csv,1
40.0_50.0_10.0.csv,1
80.0_60.0_70.0.csv,2
20.0_20.0_40.0.csv,0
0.0_0.0_50.0.csv,2
40.0_90.0_90.0.csv,1
40.0_40.0_100.0.csv,0
50.0_0.0_20.0.csv,0
80.0_50.0_10.0.csv,3
60.0_30.0_40.0.csv,2
50.0_30.0_60.0.csv,2
0.0_30.0_90.0.csv,2
90.0_90.0_50.0.csv,3
10.0_30.0_90.0.csv,2
0.0_90.0_90.0.csv,1
30.0_70.0_60.0.csv,1
80.0_90.0_100.0.csv,1
60.0_50.0_60.0.csv,3
0.0_40.0_40.0.csv,1
40.0_70.0_10.0.csv,1
20.0_50.0_70.0.csv,1
20.0_50.0_10.0.csv,1
0.0_70.0_100.0.csv,1
0.0_50.0_10.0.csv,1
90.0_20.0_10.0.csv,0
30.0_80.0_20.0.csv,1
0.0_20.0_0.0.csv,1
50.0_100.0_10.0.csv,1
40.0_0.0_90.0.csv,2
10.0_70.0_80.0.csv,1
30.0_80.0_0.0.csv,1
40.0_100.0_40.0.csv,1
60.0_40.0_0.0.csv,3
60.0_40.0_40.0.csv,2
70.0_60.0_40.0.csv,3
50.0_20.0_80.0.csv,0
30.0_80.0_40.0.csv,1
70.0_10.0_60.0.csv,0
30.0_20.0_30.0.csv,2
10.0_70.0_100.0.csv,3
80.0_30.0_50.0.csv,0
30.0_80.0_30.0.csv,1
90.0_40.0_60.0.csv,0
80.0_40.0_60.0.csv,0
30.0_80.0_80.0.csv,1
60.0_60.0_40.0.csv,1
20.0_70.0_50.0.csv,1
60.0_0.0_100.0.csv,2
60.0_40.0_10.0.csv,3
10.0_20.0_40.0.csv,2
60.0_40.0_100.0.csv,0
90.0_80.0_30.0.csv,3
90.0_70.0_100.0.csv,3
10.0_80.0_30.0.csv,1
30.0_70.0_40.0.csv,1
70.0_90.0_10.0.csv,1
80.0_90.0_90.0.csv,3
100.0_80.0_90.0.csv,3
0.0_30.0_30.0.csv,1
100.0_60.0_100.0.csv,2
50.0_90.0_50.0.csv,1
10.0_10.0_0.0.csv,1
40.0_40.0_10.0.csv,1
70.0_60.0_20.0.csv,3
100.0_30.0_50.0.csv,2
40.0_60.0_90.0.csv,3
100.0_20.0_90.0.csv,0
70.0_50.0_80.0.csv,2
100.0_20.0_40.0.csv,0
60.0_90.0_20.0.csv,1
20.0_20.0_60.0.csv,2
50.0_40.0_50.0.csv,3
80.0_80.0_30.0.csv,1
40.0_0.0_100.0.csv,0
20.0_40.0_90.0.csv,2
0.0_30.0_80.0.csv,2
0.0_50.0_60.0.csv,1
0.0_70.0_30.0.csv,1
50.0_50.0_80.0.csv,3
40.0_10.0_50.0.csv,0
60.0_100.0_0.0.csv,1
60.0_100.0_70.0.csv,1
0.0_40.0_100.0.csv,3
30.0_0.0_80.0.csv,2
20.0_70.0_80.0.csv,1
100.0_30.0_10.0.csv,2
60.0_50.0_80.0.csv,2
0.0_90.0_70.0.csv,1
90.0_20.0_60.0.csv,2
30.0_100.0_10.0.csv,1
70.0_40.0_0.0.csv,3
0.0_10.0_30.0.csv,2
50.0_0.0_90.0.csv,2
70.0_30.0_20.0.csv,2
10.0_10.0_60.0.csv,0
60.0_90.0_100.0.csv,1
10.0_90.0_80.0.csv,1
40.0_30.0_90.0.csv,0
40.0_50.0_100.0.csv,3
30.0_30.0_100.0.csv,0
30.0_40.0_10.0.csv,1
50.0_0.0_50.0.csv,0
50.0_90.0_0.0.csv,1
20.0_60.0_100.0.csv,1
30.0_90.0_90.0.csv,1
10.0_100.0_30.0.csv,1
20.0_10.0_10.0.csv,2
90.0_0.0_90.0.csv,2
40.0_50.0_40.0.csv,1
40.0_30.0_20.0.csv,3
80.0_100.0_40.0.csv,1
20.0_90.0_30.0.csv,1
40.0_100.0_100.0.csv,1
0.0_10.0_90.0.csv,2
10.0_50.0_60.0.csv,1
90.0_90.0_80.0.csv,3
60.0_10.0_100.0.csv,2
90.0_90.0_100.0.csv,1
70.0_80.0_50.0.csv,3
40.0_40.0_20.0.csv,3
90.0_90.0_10.0.csv,1
50.0_60.0_10.0.csv,3
20.0_20.0_70.0.csv,0
10.0_100.0_20.0.csv,1
80.0_10.0_10.0.csv,0
0.0_50.0_20.0.csv,1
60.0_80.0_20.0.csv,1
90.0_70.0_20.0.csv,3
30.0_80.0_100.0.csv,3
10.0_50.0_50.0.csv,1
60.0_0.0_90.0.csv,2
80.0_50.0_80.0.csv,2
70.0_90.0_50.0.csv,1
70.0_90.0_70.0.csv,3
0.0_90.0_0.0.csv,1
40.0_70.0_20.0.csv,3
50.0_100.0_30.0.csv,1
10.0_90.0_20.0.csv,1
30.0_20.0_40.0.csv,0
40.0_90.0_0.0.csv,1
80.0_40.0_100.0.csv,2
40.0_50.0_0.0.csv,3
90.0_30.0_100.0.csv,2
90.0_10.0_50.0.csv,0
40.0_100.0_50.0.csv,1
30.0_60.0_0.0.csv,1
10.0_100.0_10.0.csv,1
0.0_50.0_40.0.csv,1
40.0_80.0_0.0.csv,1
10.0_10.0_70.0.csv,2
30.0_100.0_100.0.csv,1
0.0_60.0_80.0.csv,1
80.0_100.0_70.0.csv,1
70.0_70.0_0.0.csv,1
40.0_0.0_30.0.csv,0
60.0_40.0_90.0.csv,2
10.0_70.0_60.0.csv,1
90.0_40.0_50.0.csv,2
0.0_100.0_0.0.csv,1
10.0_90.0_10.0.csv,1
20.0_40.0_40.0.csv,1
50.0_70.0_50.0.csv,1
40.0_50.0_50.0.csv,3
0.0_0.0_100.0.csv,2
50.0_30.0_80.0.csv,0
40.0_20.0_70.0.csv,0
100.0_0.0_10.0.csv,2
70.0_60.0_10.0.csv,1
70.0_90.0_20.0.csv,1
10.0_10.0_30.0.csv,0
60.0_90.0_40.0.csv,1
90.0_20.0_70.0.csv,0
10.0_70.0_30.0.csv,1
20.0_100.0_60.0.csv,1
40.0_60.0_50.0.csv,1
70.0_90.0_60.0.csv,1
50.0_100.0_50.0.csv,1
0.0_90.0_100.0.csv,1
40.0_100.0_80.0.csv,1
80.0_60.0_60.0.csv,3
30.0_70.0_90.0.csv,1
90.0_0.0_50.0.csv,2
30.0_20.0_0.0.csv,3
30.0_90.0_30.0.csv,1
70.0_20.0_100.0.csv,2
100.0_40.0_40.0.csv,2
80.0_60.0_20.0.csv,3
0.0_10.0_60.0.csv,0
100.0_10.0_100.0.csv,2
0.0_80.0_10.0.csv,1
10.0_40.0_70.0.csv,3
80.0_50.0_50.0.csv,3
50.0_60.0_30.0.csv,1
10.0_80.0_0.0.csv,1
70.0_60.0_70.0.csv,3
60.0_80.0_90.0.csv,3
0.0_80.0_0.0.csv,1
0.0_30.0_20.0.csv,1
90.0_90.0_20.0.csv,3
80.0_30.0_10.0.csv,0
100.0_40.0_70.0.csv,2
70.0_50.0_30.0.csv,1
70.0_80.0_0.0.csv,1
0.0_100.0_20.0.csv,1
100.0_80.0_100.0.csv,3
20.0_60.0_30.0.csv,1
0.0_10.0_70.0.csv,2
20.0_80.0_10.0.csv,1
60.0_0.0_70.0.csv,2
10.0_90.0_70.0.csv,1
0.0_80.0_60.0.csv,1
70.0_50.0_40.0.csv,3
50.0_70.0_70.0.csv,3
20.0_0.0_90.0.csv,0
30.0_70.0_10.0.csv,1
10.0_20.0_70.0.csv,2
30.0_100.0_20.0.csv,1
90.0_70.0_80.0.csv,3
10.0_50.0_20.0.csv,1
50.0_60.0_50.0.csv,3
100.0_90.0_30.0.csv,3
100.0_40.0_100.0.csv,2
20.0_40.0_20.0.csv,1
40.0_90.0_40.0.csv,1
80.0_60.0_100.0.csv,2
30.0_100.0_0.0.csv,1
60.0_10.0_10.0.csv,0
10.0_40.0_100.0.csv,2
80.0_20.0_50.0.csv,0
100.0_100.0_0.0.csv,1
40.0_80.0_50.0.csv,1
70.0_50.0_70.0.csv,2
40.0_80.0_40.0.csv,1
60.0_80.0_60.0.csv,3
80.0_30.0_100.0.csv,2
60.0_80.0_70.0.csv,1
100.0_70.0_50.0.csv,3
100.0_0.0_80.0.csv,2
100.0_30.0_90.0.csv,0
90.0_80.0_40.0.csv,3
30.0_0.0_60.0.csv,2
0.0_70.0_40.0.csv,1
50.0_60.0_20.0.csv,1
40.0_70.0_70.0.csv,3
80.0_10.0_0.0.csv,2
90.0_100.0_40.0.csv,1
10.0_50.0_30.0.csv,1
50.0_0.0_100.0.csv,2
0.0_40.0_10.0.csv,1
30.0_80.0_70.0.csv,1
80.0_100.0_30.0.csv,1
100.0_80.0_20.0.csv,3
30.0_20.0_60.0.csv,0
40.0_90.0_30.0.csv,1
60.0_60.0_30.0.csv,1
100.0_0.0_20.0.csv,0
10.0_90.0_30.0.csv,1
10.0_20.0_50.0.csv,2
20.0_30.0_70.0.csv,2
90.0_100.0_0.0.csv,1
50.0_20.0_100.0.csv,2
70.0_10.0_100.0.csv,0
40.0_70.0_0.0.csv,1
50.0_20.0_10.0.csv,2
20.0_50.0_20.0.csv,1
30.0_10.0_40.0.csv,0
0.0_90.0_40.0.csv,1
20.0_100.0_30.0.csv,1
80.0_60.0_80.0.csv,3
0.0_40.0_90.0.csv,3
20.0_100.0_100.0.csv,1
20.0_80.0_90.0.csv,1
0.0_0.0_40.0.csv,0
80.0_60.0_90.0.csv,2
80.0_10.0_60.0.csv,0
0.0_80.0_40.0.csv,1
90.0_70.0_60.0.csv,3
90.0_40.0_70.0.csv,0
50.0_40.0_60.0.csv,2
20.0_100.0_70.0.csv,1
100.0_10.0_30.0.csv,0
60.0_30.0_60.0.csv,0
50.0_0.0_70.0.csv,2
70.0_90.0_40.0.csv,3
20.0_90.0_40.0.csv,1
70.0_60.0_30.0.csv,3
80.0_30.0_90.0.csv,0
50.0_90.0_40.0.csv,1
60.0_20.0_50.0.csv,0
100.0_40.0_90.0.csv,0
50.0_10.0_40.0.csv,0
80.0_90.0_80.0.csv,3
80.0_10.0_20.0.csv,0
80.0_30.0_20.0.csv,0
20.0_40.0_100.0.csv,2
100.0_40.0_20.0.csv,0
100.0_60.0_60.0.csv,2
20.0_80.0_80.0.csv,1
60.0_90.0_90.0.csv,1
100.0_50.0_20.0.csv,3
60.0_0.0_80.0.csv,2
80.0_90.0_10.0.csv,1
90.0_20.0_30.0.csv,0
60.0_90.0_10.0.csv,1
70.0_10.0_20.0.csv,0
90.0_10.0_20.0.csv,0
10.0_0.0_50.0.csv,0
10.0_100.0_40.0.csv,1
0.0_20.0_10.0.csv,1
0.0_90.0_30.0.csv,1
50.0_70.0_80.0.csv,3
70.0_40.0_30.0.csv,3
0.0_70.0_60.0.csv,1
100.0_80.0_40.0.csv,3
30.0_60.0_10.0.csv,1
70.0_0.0_30.0.csv,0
50.0_50.0_40.0.csv,3
50.0_10.0_30.0.csv,0
20.0_0.0_40.0.csv,2
80.0_0.0_0.0.csv,0
10.0_50.0_80.0.csv,3
90.0_10.0_70.0.csv,2
40.0_80.0_60.0.csv,1
80.0_80.0_100.0.csv,3
60.0_70.0_0.0.csv,1
70.0_100.0_0.0.csv,1
40.0_0.0_10.0.csv,2
60.0_80.0_80.0.csv,3
50.0_40.0_100.0.csv,2
40.0_20.0_10.0.csv,3
30.0_100.0_50.0.csv,1
100.0_100.0_50.0.csv,1
80.0_70.0_20.0.csv,1
10.0_90.0_40.0.csv,1
70.0_30.0_10.0.csv,2
10.0_90.0_90.0.csv,1
100.0_90.0_100.0.csv,3
50.0_60.0_0.0.csv,1
90.0_80.0_70.0.csv,3
0.0_60.0_90.0.csv,1
40.0_60.0_0.0.csv,3
10.0_70.0_90.0.csv,1
10.0_60.0_10.0.csv,1
100.0_0.0_40.0.csv,2
40.0_40.0_30.0.csv,3
100.0_20.0_50.0.csv,2
60.0_20.0_40.0.csv,0
20.0_10.0_50.0.csv,0
0.0_0.0_10.0.csv,2
90.0_30.0_50.0.csv,0
100.0_100.0_80.0.csv,3
10.0_0.0_100.0.csv,0
40.0_30.0_70.0.csv,2
100.0_40.0_60.0.csv,2
30.0_90.0_10.0.csv,1
20.0_40.0_0.0.csv,1
50.0_50.0_30.0.csv,1
70.0_0.0_60.0.csv,2
80.0_90.0_20.0.csv,1
70.0_10.0_90.0.csv,2
40.0_60.0_10.0.csv,1
80.0_30.0_70.0.csv,0
0.0_10.0_20.0.csv,3
50.0_90.0_100.0.csv,3
100.0_60.0_30.0.csv,3
50.0_10.0_50.0.csv,0
10.0_0.0_10.0.csv,0
30.0_70.0_50.0.csv,1
40.0_50.0_80.0.csv,3
100.0_70.0_40.0.csv,3
60.0_60.0_10.0.csv,1
70.0_0.0_100.0.csv,2
90.0_20.0_0.0.csv,0
90.0_40.0_40.0.csv,2
70.0_80.0_70.0.csv,1
0.0_30.0_60.0.csv,3
0.0_40.0_50.0.csv,1
70.0_80.0_20.0.csv,3
20.0_70.0_100.0.csv,1
90.0_50.0_70.0.csv,0
100.0_30.0_80.0.csv,0
10.0_50.0_10.0.csv,1
80.0_10.0_30.0.csv,2
90.0_20.0_100.0.csv,2
80.0_50.0_20.0.csv,3
90.0_50.0_20.0.csv,3
100.0_50.0_100.0.csv,0
40.0_60.0_70.0.csv,3
